time_s,time_min,depth_m,lead,tail,cement_total,spacer,flusher,mud
4.0,0.0667,5369.385,0.0,0.0,0.0,0.0,0.0,1.0
4.0,0.0667,5359.679,0.0,0.0,0.0,0.0,0.0,1.0
4.0,0.0667,5349.973,0.0,0.0,0.0,0.0,0.0,1.0
4.0,0.0667,5340.267,0.0,0.0,0.0,0.0,0.0,1.0
4.0,0.0667,5330.561,0.0,0.0,0.0,0.0,0.0,1.0
4.0,0.0667,5320.855,0.0,0.0,0.0,0.0,0.0,1.0
4.0,0.0667,5311.149,0.0,0.0,0.0,0.0,0.0,1.0
4.0,0.0667,5301.443,0.0,0.0,0.0,0.0,0.0,1.0
4.0,0.0667,5291.737,0.0,0.0,0.0,0.0,0.0,1.0
4.0,0.0667,5282.031,0.0,0.0,0.0,0.0,0.0,1.0
4.0,0.0667,5272.325,0.0,0.0,0.0,0.0,0.0,1.0
4.0,0.0667,5262.619,0.0,0.0,0.0,0.0,0.0,1.0
4.0,0.0667,5252.913,0.0,0.0,0.0,0.0,0.0,1.0
4.0,0.0667,5243.207,0.0,0.0,0.0,0.0,0.0,1.0
195.535,3.2589,7660.0,0.0,0.0,0.0,0.0,0.0,1.0
195.535,3.2589,7650.294,0.0,0.0,0.0,0.0,0.0,1.0
195.535,3.2589,7640.588,0.0,0.0,0.0,0.0,0.0,1.0
195.535,3.2589,7630.882,0.0,0.0,0.0,0.0,0.0,1.0
195.535,3.2589,7621.176,0.0,0.0,0.0,0.0,0.0,1.0
195.535,3.2589,7611.47,0.0,0.0,0.0,0.0,0.0,1.0
195.535,3.2589,7601.764,0.0,0.0,0.0,0.0,0.0,1.0
195.535,3.2589,7592.058,0.0,0.0,0.0,0.0,0.0,1.0
195.535,3.2589,7582.352,0.0,0.0,0.0,0.0,0.0,1.0
195.535,3.2589,7572.646,0.0,0.0,0.0,0.0,0.0,1.0
195.535,3.2589,7562.94,0.0,0.0,0.0,0.0,0.0,1.0
195.535,3.2589,7553.234,0.0,0.0,0.0,0.0,0.0,1.0
195.535,3.2589,7543.528,0.0,0.0,0.0,0.0,0.0,1.0
195.535,3.2589,7533.822,0.0,0.0,0.0,0.0,0.0,1.0
195.535,3.2589,7524.116,0.0,0.0,0.0,0.0,0.0,1.0
195.535,3.2589,7514.41,0.0,0.0,0.0,0.0,0.0,1.0
195.535,3.2589,7504.704,0.0,0.0,0.0,0.0,0.0,1.0
195.535,3.2589,7494.998,0.0,0.0,0.0,0.0,0.0,1.0
195.535,3.2589,7485.292,0.0,0.0,0.0,0.0,0.0,1.0
195.535,3.2589,7475.586,0.0,0.0,0.0,0.0,0.0,1.0
195.535,3.2589,7465.88,0.0,0.0,0.0,0.0,0.0,1.0
195.535,3.2589,7456.174,0.0,0.0,0.0,0.0,0.0,1.0
195.535,3.2589,7446.468,0.0,0.0,0.0,0.0,0.0,1.0
195.535,3.2589,7436.762,0.0,0.0,0.0,0.0,0.0,1.0
195.535,3.2589,7427.056,0.0,0.0,0.0,0.0,0.0,1.0
195.535,3.2589,7417.35,0.0,0.0,0.0,0.0,0.0,1.0
195.535,3.2589,7407.644,0.0,0.0,0.0,0.0,0.0,1.0
195.535,3.2589,7397.938,0.0,0.0,0.0,0.0,0.0,1.0
195.535,3.2589,7388.232,0.0,0.0,0.0,0.0,0.0,1.0
195.535,3.2589,7378.526,0.0,0.0,0.0,0.0,0.0,1.0
195.535,3.2589,7368.82,0.0,0.0,0.0,0.0,0.0,1.0
195.535,3.2589,7359.114,0.0,0.0,0.0,0.0,0.0,1.0
195.535,3.2589,7349.408,0.0,0.0,0.0,0.0,0.0,1.0
195.535,3.2589,7339.702,0.0,0.0,0.0,0.0,0.0,1.0
195.535,3.2589,7329.996,0.0,0.0,0.0,0.0,0.0,1.0
195.535,3.2589,7320.29,0.0,0.0,0.0,0.0,0.0,1.0
195.535,3.2589,7310.584,0.0,0.0,0.0,0.0,0.0,1.0
195.535,3.2589,7300.878,0.0,0.0,0.0,0.0,0.0,1.0
195.535,3.2589,7291.172,0.0,0.0,0.0,0.0,0.0,1.0
195.535,3.2589,7281.466,0.0,0.0,0.0,0.0,0.0,1.0
195.535,3.2589,7271.76,0.0,0.0,0.0,0.0,0.0,1.0
195.535,3.2589,7262.054,0.0,0.0,0.0,0.0,0.0,1.0
195.535,3.2589,7252.348,0.0,0.0,0.0,0.0,0.0,1.0
195.535,3.2589,7242.642,0.0,0.0,0.0,0.0,0.0,1.0
195.535,3.2589,7232.936,0.0,0.0,0.0,0.0,0.0,1.0
195.535,3.2589,7223.23,0.0,0.0,0.0,0.0,0.0,1.0
195.535,3.2589,7213.524,0.0,0.0,0.0,0.0,0.0,1.0
195.535,3.2589,7203.818,0.0,0.0,0.0,0.0,0.0,1.0
195.535,3.2589,7194.112,0.0,0.0,0.0,0.0,0.0,1.0
