timestamp_utc,density_mass_g_cm3,pump_press_a_mpa,pump_press_b_mpa,pump_rate_all_m3_min,pump_total_all_m3,water_rate_m3_min
2025-08-14T01:33:27.274000,1.626338,7.337629,0,0.56385,4327.793,0.29855
2025-08-14T01:33:32.285000,1.629232,7.380774,0,0.56385,4327.84,0.310654
2025-08-14T01:33:37.382000,1.628689,7.295717,0,0.56385,4327.886,0.310654
2025-08-14T01:33:42.394000,1.6267,7.350439,0,0.56385,4327.933,0.310654
2025-08-14T01:33:47.491000,1.61603,7.327596,0,0.56385,4327.988,0.310654
2025-08-14T01:33:52.502000,1.615668,7.352816,0,0.56385,4328.035,0.310654
2025-08-14T01:33:57.600000,1.608435,7.257071,0,0.56385,4328.081,0.310654
2025-08-14T01:34:02.611000,1.602105,7.252646,0,0.56385,4328.127,0.310654
2025-08-14T01:34:07.709000,1.589627,7.15518,0,0.56385,4328.174,0.310654
2025-08-14T01:34:12.720000,1.587999,7.126202,0,0.56385,4328.22,0.310654
2025-08-14T01:34:17.818000,1.584744,7.131299,0,0.56385,4328.267,0.314688
2025-08-14T01:34:22.829000,1.577148,7.071052,0,0.56385,4328.313,0.310654
2025-08-14T01:34:27.926000,1.568106,7.017374,0,0.56385,4328.359,0.310654
2025-08-14T01:34:32.938000,1.574798,6.982069,0,0.56385,4328.406,0.310654
2025-08-14T01:34:38.035000,1.570276,6.995076,0,0.56385,4328.452,0.310654
2025-08-14T01:34:43.046000,1.577148,6.967582,0,0.56385,4328.499,0.310654
2025-08-14T01:34:48.144000,1.582212,7.033312,0,0.56385,4328.545,0.310654
2025-08-14T01:34:53.155000,1.579861,7.293526,0,0.56385,4328.591,0.310654
2025-08-14T01:34:58.253000,1.583116,7.761896,0,0.56385,4328.638,0.310654
2025-08-14T01:35:03.264000,1.590169,8.052038,0,0.56385,4328.684,0.310654
2025-08-14T01:35:08.275000,1.596499,7.944335,0,0.56385,4328.73,0.310654
2025-08-14T01:35:13.373000,1.604999,7.884385,0,0.56385,4328.777,0.310654
2025-08-14T01:35:18.384000,1.609158,7.969959,0,0.56385,4328.823,0.310654
2025-08-14T01:35:23.482000,1.618562,8.034611,0,0.56385,4328.879,0.310654
2025-08-14T01:35:28.493000,1.617477,8.024233,0,0.56385,4328.925,0.310654
2025-08-14T01:35:33.590000,1.616392,7.994857,0,0.56385,4328.972,0.310654
2025-08-14T01:35:38.602000,1.619105,8.041524,0,0.56385,4329.018,0.310654
2025-08-14T01:35:43.699000,1.623264,7.987157,0,0.56385,4329.064,0.310654
2025-08-14T01:35:48.710000,1.626519,7.953501,0,0.56385,4329.111,0.310654
2025-08-14T01:35:53.808000,1.628147,7.972351,0,0.56385,4329.157,0.310654
2025-08-14T01:35:58.819000,1.62236,7.865136,0,0.56385,4329.204,0.310654
2025-08-14T01:36:03.917000,1.622902,7.882059,0,0.56385,4329.25,0.310654
