井深_m,balance_平均浓度,spacer_平均浓度,lead_平均浓度,tail_平均浓度,mud_平均浓度
6483.150300601203,1.7352752651326624e-06,4.372372337801472e-07,0.13878964702241547,0.8438111182684078,0.017397062196677804
6478.204408817635,1.7135487569481465e-06,4.318693245499504e-07,0.1392123557956935,0.8433728840537923,0.01741261473243272
6473.258517034068,1.6920709290754238e-06,4.265619282361428e-07,0.13963427827926342,0.8429346445772408,0.017428958510638526
6468.312625250501,1.67083819546303e-06,4.213142072379062e-07,0.14005541844052435,0.8424964353746981,0.01744605403237487
6463.3667334669335,1.6498470456939577e-06,4.1612529972511955e-07,0.14047578432399604,0.8420582894840949,0.017463860219563587
6458.420841683366,1.6290940854767949e-06,4.109943312319411e-07,0.14089538431890242,0.8416202351676891,0.01748234042499175
6453.4749498998,1.6085760519538182e-06,4.059204304018227e-07,0.14131422513898406,0.8411822953059274,0.01750146505860628
6448.529058116233,1.5882898125141177e-06,4.0090274743641796e-07,0.141732311794214,0.8407444914265563,0.01752120758666975
6443.583166332665,1.5682323569662894e-06,3.9594047218896977e-07,0.14214965083315892,0.8403068541128415,0.017541530881170497
6438.637274549098,1.5484007855514253e-06,3.9103284691991407e-07,0.14256625767049616,0.8398694369862435,0.017562365909627897
6433.691382765531,1.5287922694080982e-06,3.8617916366708404e-07,0.14298216849172027,0.8394323185125595,0.017583598024287106
6428.745490981964,1.509403829126905e-06,3.813787057473955e-07,0.14339747161006366,0.8389955134483983,0.01760512415900317
6423.799599198397,1.4902306805837184e-06,3.766303174822757e-07,0.1438125365478067,0.8385582380909222,0.01762735850027297
6418.85370741483,1.4712519593892575e-06,3.719287619682895e-07,0.1442302403132203,0.8381126909460895,0.01765522555996879
6413.907815631263,1.4522615240108505e-06,3.672217099961616e-07,0.144684121737128,0.8375801642100924,0.01773389456954555
6408.961923847695,1.4300368493138831e-06,3.6169208662613205e-07,0.1456382986622775,0.8360152742241901,0.01834463538459641
6404.016032064128,1.296219517346468e-06,3.2793026307709366e-07,0.15805991506498132,0.8161249040393963,0.02581355674584196
6399.070140280561,1.2814151144212747e-06,3.242132799610289e-07,0.12852835708508567,0.7162470022810805,0.15522303500543944
6394.1242484969935,1.2672899582335839e-06,3.20879167749645e-07,0.12516114534260092,0.7092643664188303,0.1655729000694428
6389.178356713427,1.2533097626125304e-06,3.1763592676334855e-07,0.12309630821901839,0.7053018933490455,0.1716002274862467
6384.23246492986,1.2392365626288461e-06,3.1426308543161737e-07,0.12219174732945678,0.7040570464440205,0.1737496527268747
6379.2865731462925,1.2249923730716758e-06,3.10695160618399e-07,0.12222442699347776,0.7046742903326372,0.17309974698635133
6374.340681362725,1.2106943795433868e-06,3.0703437575959247e-07,0.12287345701048932,0.7063130062000005,0.17081201906075494
6369.394789579158,1.196480391388792e-06,3.034021947851654e-07,0.12381070794606845,0.7083550086013619,0.16783278356998343
6364.448897795592,1.1824092336853649e-06,2.998438140506902e-07,0.1248313070332266,0.7104745634145817,0.1646926472991439
6359.503006012024,1.168482465007839e-06,2.963545087659555e-07,0.12581573885860078,0.7124818435272853,0.16170095277714014
6354.557114228457,1.1546857468493003e-06,2.929170606537342e-07,0.12671553273647537,0.7142839388210964,0.15899908083962067
6349.61122244489,1.1410116786216546e-06,2.895192733847039e-07,0.1275272150235685,0.7158641027754631,0.15660725167001643
6344.6653306613225,1.1274600203399997e-06,2.861554186759137e-07,0.12826621500946614,0.7172464216919657,0.15448594968312912
6339.719438877755,1.1140408937212802e-06,2.828254195008063e-07,0.1289493504558794,0.7184692409600621,0.15258001171774516
6334.773547094188,1.100790690723149e-06,2.7953741672523773e-07,0.12958646939370225,0.7195810585549411,0.15083109172324916
6329.827655310621,1.0877199326069881e-06,2.762936663846768e-07,0.13018697980823887,0.7206137576164052,0.14919789856175691
6324.881763527054,1.0747822717200145e-06,2.730822233698062e-07,0.13076231120005835,0.721568616624558,0.1476677243108886
6319.935871743487,1.0619420003592274e-06,2.6989394545204953e-07,0.13132126469842592,0.7224457231592372,0.1462316803063911
6314.98997995992,1.0491940676987162e-06,2.6672753074564315e-07,0.13186842570104948,0.7232543287152127,0.14487592966213936
6310.0440881763525,1.0365363344596533e-06,2.6358242828306396e-07,0.13240691805013166,0.7240030896893767,0.14358869214172898
6305.098196392786,1.023968625182881e-06,2.6045858969796506e-07,0.13293827610226122,0.7247008158615174,0.14235962360900656
6300.152304609219,1.0114881113835678e-06,2.5735529462499925e-07,0.13346381930214526,0.7253523405226934,0.14118257133175538
6295.206412825652,9.990941238244414e-07,2.542723752643241e-07,0.13398406912343344,0.7259619708097445,0.140052706700323
6290.260521042084,9.867914116092063e-07,2.512110400442535e-07,0.1344982767735423,0.7265353038484492,0.1389651813755568
6285.314629258517,9.746132550821625e-07,2.481797762339185e-07,0.1350015250872758,0.7270872112307667,0.13791004088892622
6280.36873747495,9.625537259274283e-07,2.451770988927765e-07,0.1354951271953068,0.7276151024600027,0.13688856261386562
6275.4228456913825,9.50568953035126e-07,2.4219186202560904e-07,0.13598671996613387,0.7281046159161111,0.13590747135693992
6270.476953907815,9.386517285159561e-07,2.392222611206854e-07,0.1364778523565534,0.728555848250121,0.13496512151933593
6265.531062124248,9.268053351601157e-07,2.3626915144102766e-07,0.13696821590738772,0.7289719978166278,0.13405862320149786
6260.5851703406815,9.150322334157945e-07,2.3333317561615793e-07,0.13745738562841914,0.7293555056551749,0.13318596035099683
6255.639278557114,9.033345569764477e-07,2.3041490325979822e-07,0.1379446123233036,0.7297084528212651,0.13234580110597105
6250.693386773547,8.917154128951607e-07,2.2751514739755813e-07,0.1384286605142684,0.7300330568633752,0.1315371633917961
6245.74749498998,8.801898050261367e-07,2.2463773881276025e-07,0.138905925070583,0.7303355750693277,0.13075739503254546
6240.801603206413,8.687702269120703e-07,2.2178586855905675e-07,0.13937508155472522,0.7306197780920786,0.13000404979710067
6235.855711422846,8.574385590533085e-07,2.1895492423330562e-07,0.13984161621229713,0.7308799121342227,0.12927739525999693
6230.909819639279,8.461788860562403e-07,2.1614085558013623e-07,0.1403091795693323,0.7311125666282438,0.12857719148268232
6225.9639278557115,8.349936642336618e-07,2.1334430144587983e-07,0.14077715965113397,0.7313191554959187,0.12790263651498157
6221.018036072144,8.238799492484763e-07,2.1056449193487793e-07,0.14124228262939387,0.7314888205092475,0.12726786241691745
6216.072144288577,8.126821130971455e-07,2.0776139507065224e-07,0.141673062296959,0.7314626399085729,0.12686327735095992
6211.12625250501,7.94083046091432e-07,2.0306696002540544e-07,0.14235702536679148,0.7276239748908802,0.1300180025923222
6206.180360721442,7.886688697887309e-07,2.0172979925578122e-07,0.14207961566130603,0.7282265556428706,0.12969283829715428
6201.234468937876,7.779223815149871e-07,1.9903793046021272e-07,0.1423922203123315,0.7281591641401546,0.12944763858720187
6196.288577154309,7.672410995027658e-07,1.9636360037461462e-07,0.14281451727686661,0.7282473205908019,0.12893719852763164
